date,text,user
2020-03-02 19:20:36+00:00,it is definitely possible when it is done out of a sincere awareness about collective responsibility and responsible governance for the sustainability of our and global common good. lots of possibilities vs lack of responsibilities. is striving for the needed change!,fdaoulb
2020-02-27 23:02:14+00:00,"sounds like an interesting summer school: ""water: our global common good – the hydrosphere across land and sea"" aug 17-26 2020, potsdam, germany. more info here: ",MatthiaSprenger
2020-02-26 10:03:18+00:00,rethinking education towards a global common good? - ppt download ,DrCCunningham
2020-02-21 08:26:49+00:00, dont miss this interactive transdisciplinary learning experience! explore the hydrosphere across land and sea and apply for ! our global common good needs you ! ,GreenTalents
2020-02-19 04:48:30+00:00,"todays subject is poland poland, like much of central europe, has experienced little population growth since the end of the soviet era. it has made consistent hdi progress is well positioned to join the uk on 0.92. high hdi for all is a global common good ",SteveLawrence_
2020-02-18 09:04:09+00:00,"apply by 17 april: potsdam summer school 2020 on ""water: our global common good"", co-hosted by @unipotsdam @awi_de @gfz_potsdam @pik_climate iass",IASS_Potsdam
2020-02-16 10:24:57+00:00,"wertheim: as the united states inflated military threats and then poured resources into countering them, it also failed to provide for the global common good. although it has led some laudable efforts to address the aids pandemic and climate change, the overall record is grim. /1 ",finn_harvor
2020-02-14 17:05:48+00:00,i start each and every day off with a sense of hope and determination to get shit done in the interest of the global common good a wave of positive social change is coming. be a part of it! you matter. your actions matter; and the way you think matters! ,WaiteRobyn
2020-02-14 06:36:08+00:00,"apply now potsdam summer school 2020 water: our global common good - the hydrosphere across land and sea from august 17 until august 26, 2020 in potsdam, germany @iass_potsdam",FECoasts
2020-02-12 16:28:06+00:00,"“as the united states inflated military threats and then poured resources into countering them, it also failed to provide for the global common good.” ",ForeignAffairs
2020-02-11 16:17:16+00:00,"global common good urban units for common good living un multi-stakeholder platforms to support implement sustainable urbanization framework urbanization forum - wuf10 (8-13 february 2020, abu dhabi, uae) ",MnStand
2020-02-11 09:05:24+00:00,"thank you @sanambna for your inspirational inaugural lecture last night. excited to see how you will lead @lse_wps and work with your colleagues, students and partners to contribute to the global common good @lsenews",DevonDilly
2020-02-10 11:33:49+00:00,– is a global common good that can only be assured through committed international cooperation. fm highlights norway’s commitment to effectively combat nuclear security threats. @norwaymfa,NorwayinVienna
2020-02-10 04:35:53+00:00,"cita: unesco (2015). rethinking education: towards a global common good?, paris, unesco, page 40.",lgfrade
2020-02-08 11:01:45+00:00,"my dream is to effect changes that lead to a legacy of transformational stories, in which students, faculty, professionals, alumni partners are empowered: to speak; to collaborate creatively; to shape the world for the global common good; to find personal wellbeing",DevonDilly
